IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,Health/Life Safety/Emergency Systems Refurbishment/City-Wide Accessibility,"Capital Program to fund investments ensuring health/life safety requirements and the highest-and-best use investments associated with preserving continued facility operations that arise annually. Specifically, this program encompasses planned or emergency refurbishment, replacement, repair and maintenance upgrade projects for fire and life safety (e.g., emergency lighting), heating, ventilation, air conditioning, electrical, plumbing, building envelope, structural requirements, emergency power generation, and uninterrupted power systems. Funding is also allocated for critical systems including building automation and climate control, security, access control, and CCTV systems. This program also ensures adherence to regulatory compliance upgrades, asbestos and other hazardous material remediation, and asset condition assessments. Finally, this program addresses physical accessibility issues such as lighting, signage, and public entranceways.",Assets and Project Management,"Dev Approval, Bldg, Permits & Insp",Program,$0,2%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,"3,843,000","51,518,000",2029,,,N,3,,,,,,,
2024,Osborne Street Underpass AT Improvements,"This project will examine cost effective functional design alternatives for an active transportation grade separation in the vicinity of the Osborne Street Underpass in order to address a gap in the Active Transportation Network to cross the CN mainline. Functional design will also be undertaken to review rehabilitation of the existing underpass to address deficiencies in land drainage, vertical clearance and pavement condition.",Public Works,Roads - Regional,Project,$0,6%,5,A City that Works for Residents through Improved Customer Service,Upgrade,River-Osborne,Fort Rouge - East Fort Garry,POINT (-97.14092029 49.87328292),0,"38,704,000",2029,,,Y,6,,,,,,,
2024,Facility Optimization - Waverley West Station,"With this capital funding the Winnipeg Fire Paramedic Service seeks to maximize the efficiency of the station network. This is achieved through relocations, replacements, and major enhancements to stations that help reduce costs but maintain the desired level of response.",Fire Paramedic Service,Fire & Rescue Response,Project,$0,100%,4,"A Livable, Safe, Healthy, Happy City",Upgrade,Waverley West B,Waverley West,POINT (-97.18796535 49.79664178),0,0,2032,Growth-supportive infrastructure,,N,4,,,,,,,
2023,Edward Schreyer Parkway - Plessis to Chief Peguis Trail,text,Public Works,Roads - Regional,Project,"$101,443,000",0%,5,Economic Prosperity,Growth,Grassie,Transcona,POINT (-97.02524274 49.920656),0,"5,831,000",2026,Growth-supportive infrastructure,,,,,,,,,,
2024,Ness at Truro Creek Culvert,The Ness Avenue Culvert at Truro Creek is undersized and is in a deteriorated condition.  Replacement will be required in 2028.  Preliminary design was completed in 2017. Funding of $700k in 2027 for detailed design and contract administration services and funding of $3.3M in 2028 for construction is required.  The new structure will provide an additional 75 years of service life.,Public Works,Bridges - Regional,Project,$0,100%,3,A City that Works for Residents through Improved Customer Service,Renew,Deer Lodge,St. James,POINT (-97.2269324998788 49.8844745818629),0,0,2032,,,N,3,,,,,,,
2024,NG911,"CRTC NG9-1-1 standards require upgrades to call handling systems to ensure 9-1-1 data can be appropriately handled. It also requires primary and back-up PSAPS centres have physical and electronic security measures in place. These funds will be used to construct a 9-1-1 back-up centre to meet national standards, and implement an on-premise 9-1-1 communication system.",Fire Paramedic Service,Fire & Rescue Response,Project,$0,100%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2026,,,N,3,,,,,,,
2024,Work and Asset Management Program,"Work Order and Asset Management (WAM) is used in the delivery of Water and Wastewater services for work planning, management, infrastructure preventative maintenance and renewal programs. Ongoing product updates are required to ensure the WAM system can support the day-to-day operations within the Water and Waste Department.",Innovation and Technology,Wastewater,Program,$0,62%,,A City that Works for Residents through Improved Customer Service,Renew,,,,"1,750,000","1,750,000",2027,,,N,3,,,,,,,
2024,Neighbourhood Centres Capital Renewal Program,"The neighbourhood recreation and leisure centres capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 9 neighbourhood recreation and leisure centres owned and operated by the City of Winnipeg or by partners via legal agreements*. Projects may include building envelope and structural improvements, improvements to mechanical and electrical systems including heating, ventilation and lighting, accessibility projects and other interior improvements. * Broadway Neighbourhood Centre, East End Cultural & Leisure Centre now operating as a community care site by Mamawi",Assets and Project Management,Recreation,Program,"$21,514,000",0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"1,630,000",2024,,,N,4,,,,,,,
2024,Automatic Fare Collection System (AFCS) Upgrade,"The Automatic Fare Collection System (AFCS) project includes an upgrade of the existing fare collection technology, and migration of software to a new platform.",Winnipeg Transit,Public Transit,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2030,,,N,2,,,,,,,
2023,Electric Vehicles and Infrastructure,text,Fleet Management Services,Multiple Organizational Support Services,Program,"$20,000,000",0%,,Economic Prosperity,Operations & Maintenance,,,,0,"2,000,000",2027,,,,,,,,,,,
2023,Customer Billing and Work Management Systems Upgrades Program,text,Water and Waste,Wastewater,Program,"$9,080,000",100%,,Environmental Resilience,Upgrade,,,,"1,750,000",0,2026,,,,,,,,,,,
2023,Parkland Acquisition,text,Public Works,Parks - Regional,Program,"$8,300,000",0%,,Good Health & Well-Being,Growth,,,,0,"2,000,000",2026,,,,,,,,,,,
2024,Continuous Improvement and Innovation Program (Formerly Innovation Program),"The Innovation Program will enable the City to create innovative ideas, utilize innovative technologies and approaches to improve existing systems, tools, and processes to primarily reduce costs or increase revenue, improve service levels, and add new capabilities. This will enable the Director of Innovation & Technology to fulfill the mandate of driving innovation for the City of Winnipeg to be smarter, more efficient, and more effective in meeting the needs of a growing city.",Innovation and Technology,Contact Centre - 311,Program,$0,43%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"632,000",0,2032,,,N,1,,,,,,,
2024,Work and Asset Management Program,"Work Order and Asset Management (WAM) is used in the delivery of Water and Wastewater services for work planning, management, infrastructure preventative maintenance and renewal programs. Ongoing product updates are required to ensure the WAM system can support the day-to-day operations within the Water and Waste Department.",Innovation and Technology,Wastewater,Program,$0,62%,,A City that Works for Residents through Improved Customer Service,Renew,,,,"180,000","420,000",2029,,,N,3,,,,,,,
2024,Evidence Archive Building,Additional secure storage is required to house long term exhibits for sex crimes and murders. Maximum capacity is projected to be reached within the next 5 years.  Options for 20 years of additional capacity are being developed.,Winnipeg Police Service,Police Services,Project,$0,0%,4,"A Livable, Safe, Healthy, Happy City",Growth,,,,0,0,2026,,,N,5,,,,,,,
2024,Comprehensive Integrated Waste Management Strategy (CIWMS) - Source Separated Organics,"The proposed project will implement a full source separated organics program. This includes construction of a high-rate forced-aerated composting facility, provision for the purchase and delivery of carts for a third waste stream, and program implementation.",Water and Waste,Recycling & Waste Diversion,Project,$0,0%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,0,"171,500,000",2030,,,N,1,,,,,,,
2023,Shoal Lake Aqueduct Condition Assessment and Rehabilitation,text,Water and Waste,Water,Program,"$13,300,000",100%,,Environmental Resilience,Renew,,,,"500,000",0,2024,,,,,,,,,,,
2024,Automatic Fare Collection System (AFCS) Upgrade,"The Automatic Fare Collection System (AFCS) project includes an upgrade of the existing fare collection technology, and migration of software to a new platform.",Winnipeg Transit,Public Transit,Project,"$6,500,000",100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"6,500,000",0,2024,,,N,2,,"6,500,000",0,"6,500,000","6,500,000",0,"6,500,000"
2024,East of the Red RecPlex,"The proposed project involves the development of a 90,000-square-foot regional recreation and leisure facility, including a leisure pool, eight-lane swim tank, indoor track, fitness areas, gymnasium, and multi-purpose rooms, all attached to the new Transcona Library.",Community Services,Recreation,Project,$0,17%,5,"A Livable, Safe, Healthy, Happy City",Growth,Regent,Transcona,POINT (-97.026639 49.901639),0,0,2030,Growth-supportive infrastructure,,N,3,,,,,,,
2024,Arena Twinning Project (City Contribution for EOI/RFP),"This investment is a City capital contribution to support an RFP to develop a new multi-pad indoor arena that meets current and future service needs. It may allow for the rationalization of end-of-life, functionally obsolete City-operated arenas.",Community Services,Recreation,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Grant Park,River Heights - Fort Garry,POINT (-97.16866231 49.85565765),0,0,2029,,,N,19,,,,,,,
2024,Bus Radio and Intelligent Transportation System (ITS) Replacement,"This project will see the replacement of existing bus radio hardware, equipment, and Intelligent Transportation Systems (ITS). The project will include replacement of radios on the entire Transit fleet currently approaching the end of useful life.",Winnipeg Transit,Public Transit,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"266,000",0,2025,,,N,8,,,,,,,
2024,Hoist Replacement at Fort Rouge Garage,"All 38 in-ground hoists found in the Fort Rouge Garage maintenance shop require replacement due to deterioration and age, inefficient and outdated designs, and to ensure compliance with new hoist codes and standards.",Winnipeg Transit,Public Transit,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14263831 49.86523158),0,0,2029,,,N,3,,,,,,,
2024,Waterway Crossing and Grade Separations - Annual Program,"Annual program to carry out preventative maintenance, major repairs, improvements or replacement to existing bridges, overpasses, underpasses, culverts and related bridge infrastructure, ensuring continued and continuous services of these facilities to the maximum practical extent.",Public Works,Bridges - Regional,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Renew,,,,"3,595,000",0,2032,,,Y,1,,,,,,,
2024,Fort Rouge - McFadyen Pedestrian Crossing,The proposed project involves construction of a new pedestrian and cycling bridge over the Assiniboine River and major refurbishment of McFadyen Park and Fort Rouge Park on either side of the bridge.,Public Works,Active Transportation,Project,$0,0%,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,Broadway-Assiniboine,Fort Rouge - East Fort Garry,POINT (-97.14168066 49.88396265),0,"12,828,000",2027,,,Y,2,,,,,,,
