MeetingType,MeetingDate,Resolution,Voter,Vote,Result
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following proposed amendment be referred to Administration to bring forward to the 2026 November 10 Regular Meeting of Council for consideration as part of 2027-2030 Business Plans and Budgets:
Allocating $45.0 ;million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026, $11.25 million in 2027, $22.5 million in 2028) to advance the procurement of buses, funded from the Fiscal Stability Reserve (FSR), which is expected to receive a favorable year-end variance",Rob Ward,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ;



Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ;
These adjustments should not rely on changes to funding for police, fire, and transit",DJ Kelly,No,MOTION DEFEATED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $300,000 of capital budget to Operational Services funded by the Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged for tenant improvements for accessibility features including, but not limited to, the east entrance at the West Hillhurst Civic Centre Renovation to the Recreation Facility Lifecycle (A405701) activity in 2026",Andrew Yule,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council directs Administration to prepare a report outlining the creation of a new Standing Policy Committee called the SPC on Finance, Budget and Corporate Services, with a mandate to:



Provide oversight and advice to Administration on the implementation of the 4-year budget and annual budget adjustments;
Perform a detailed review of every Departmental/Business Unit budget over the course of the 4-year term; and



Report to return to Council on or before end of Q1 2026.",Rob Ward,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of the City Council to advocate for the Government of Alberta to incorporate and fully fund community Court into the provincial court system.",Andre Chabot,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council:

Agree in principle that the municipal share of provincial traffic fine revenue should be fully restored, and the reduction of photo radar services be reviewed against outcomes;
Express Councils intention that any restored revenue be earmarked for traffic-safety improvements, including but not limited to safer intersections, crosswalk upgrades, school-zone protections, and traffic-calming measures;
Request the Mayor to communicate Councils position to the Government of Alberta and to work collaboratively with the Minister of Justice, Minister of Municipal Affairs, and Minister of Transportation and Economic Corridors on an updated traffic fine revenue framework and photo radar service framework that restores municipal funding and supports community safety; and
Direct Administration to report back through Infrastructure and Planning Committee with options for allocating any restored revenues toward priority capital safety projects once provincial decisions are known.",Andre Chabot,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $7.55 ;million ;in capital budget in 2026 to Operational Services to the Safety Improvements program (P127_141) for the Vision Zero Improvements Investment Package in attached ;Distribution ;3, to be funded from Fiscal Stability Reserve (FSR)",Andre Chabot,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following proposed amendment be referred to Administration to bring forward to the 2026 November 10 Regular Meeting of Council for consideration as part of 2027-2030 Business Plans and Budgets:
Allocating $45.0 ;million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026, $11.25 million in 2027, $22.5 million in 2028) to advance the procurement of buses, funded from the Fiscal Stability Reserve (FSR), which is expected to receive a favorable year-end variance",Mike Jamieson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $8.0 million from the Fiscal Stability Reserve as follows:





 $3.0 million to the Heritage Incentive Reserve; and
 $5.0 million to the Heritage Calgary Reserve Fund",Andrew Yule,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"With respect to report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under ;Recommendation 1, as follows: ;
That with respect to the Community Services budget for the Calgary Fire Department, approving the following for 2026: ; ;



Engine: $4.5 million ongoing operating, funded from property taxes, and $2.2 million capital (P044_D02), funded by corporate capital grant;
Training Coordinator - $230,000 ongoing operating, funded from property taxes;
4 training officers - $860,000 ongoing operating, funded from property taxes; and
6 mechanics - $900,000 ongoing operating, funded from property taxes ;",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $300,000 of capital budget to Operational Services funded by the Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged for tenant improvements for accessibility features including, but not limited to, the east entrance at the West Hillhurst Civic Centre Renovation to the Recreation Facility Lifecycle (A405701) activity in 2026",Dan McLean,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council:

Agree in principle that the municipal share of provincial traffic fine revenue should be fully restored, and the reduction of photo radar services be reviewed against outcomes;
Express Councils intention that any restored revenue be earmarked for traffic-safety improvements, including but not limited to safer intersections, crosswalk upgrades, school-zone protections, and traffic-calming measures;
Request the Mayor to communicate Councils position to the Government of Alberta and to work collaboratively with the Minister of Justice, Minister of Municipal Affairs, and Minister of Transportation and Economic Corridors on an updated traffic fine revenue framework and photo radar service framework that restores municipal funding and supports community safety; and
Direct Administration to report back through Infrastructure and Planning Committee with options for allocating any restored revenues toward priority capital safety projects once provincial decisions are known.",Kim Tyers,Yes,MOTION CARRIED
